scientific_name	relative_abundance1	relative_abundance2	relative_abundance3	relative_abundance4	relative_abundance5	relative_abundance6	relative_abundance7	relative_abundance8	relative_abundance9	relative_abundance10
Paraburkholderia acidipaludis	0	0	0.00457289	0	0	0	0	0	0	0
Pseudomonas plecoglossicida	0	0	0.0228645	0	0	0	0	0	0.0486661	0
Bacteroides dorei	0	0	0.00457289	0	0.0340667	0	0	0	0.194664	0
Bacteroides nordii	0	0	0.00457289	0	0	0	0	0	0.249967	0
Anaerococcus tetradius	0	0	0.0365831	0	0	0	0	0	0.0154847	0
Streptococcus intermedius	0	0	0.320102	0	0	0	0	0	0	0
Porphyromonas levii	0	0	0.0640205	0	0	0	0	0	0	0.0125224
Clostridium cadaveris	0	0	0.0320102	0	0	0	0	0	0	0
Anaerococcus octavius	0	0	0.00914578	0	0	0	0	0	0.00442419	0
Pseudomonas aeruginosa	0	0	0.0228645	0	0	0	0	0	0.0110605	0
Jejuia pallidilutea	0	0	0.342967	0	0	0	0	0	0.0774233	0
Prevotella paludivivens	0	0	0.00914578	0	0	0	0	0	0	0
Clostridium paraputrificum	0	0	0.00914578	0	0.0643482	0	0	0	0.347299	0.127903
Pseudomonas fluorescens	0	0	0.0182916	0	0	0	0	0	0.0110605	0
Bacteroides cellulosilyticus	0	0	0.00457289	0.00662408	0	0	0	0	0.900323	0
[Eubacterium] sulci	0	0	0.00914578	0.0018926	0	0	0	0	0	0
Corynebacterium aurimucosum	0	0	0.00457289	0	0	0	0	0	0	0
Streptococcus equi	0	0	0.00914578	0.00473149	0	0	0	0	0.00442419	0.0015858
Bacteroides fragilis	0	0	0.00457289	0.491128	0	0.00811	0	0	0	0
Prevotella salivae	0	0	0.114322	0	0	0	0	0	0.0022121	0
Bifidobacterium bombi	0	0	0	0	0	0	0	0	0.00442419	0
Mogibacterium neglectum	0	0	0.0594476	0	0	0	0	0	0	0
Prevotella histicola	0	0	0.00914578	0	0	0	0	0	0	0
Paraprevotella clara	0	0	0.00914578	0	0	0	0	0	2.82042	0.0000546829
Prevotella buccalis	0	0	0.00457289	0	0	0	0	0	0	0
Atopobium rimae	0	0	0.0274374	0	0	0	0	0	0	0
Peptoniphilus lacrimalis	0	0	3.62173	0.000946298	0	0	0	0	0.0575145	0
Peptoniphilus harei	0	0	0.00914578	0	0	0	0	0	0.0022121	0
Sutterella stercoricanis	0	0	7.11085	0.0160871	0	0	0	0	4.31359	0
Prevotella scopos	0	0	0.34754	0	0	0	0	0	0	0
Mesorhizobium huakuii	0	0	0.00457289	0	0	0	0	0	.00663629	0
Streptococcus ratti	0	0	0.00457289	0	0	0	0	0	0	0
Prevotella ruminicola	0	0	2.94494	0	0	0	0	0	0.0110605	0
Prevotella oryzae	0	0	0.00457289	0	0	0	0	0	0	0
Prevotella shahii	0	0	0.00914578	0	0	0	0	0	0.0022121	0
Prevotella albensis	0	0	0.0320102	0	0	0	0	0	0	0
Porphyromonas cangingivalis	0	0	0.0228645	0	0	0	0	0	0	0
Campylobacter gracilis	0	0	0.114322	0	0	0	0	0	0.00442419	0
Prevotella dentalis	0	0	0.0685934	0	0	0	0	0	0	0
Prevotella bivia	0	0	0.461862	0	0	0	0		0.145998	0
Peptoniphilus tyrrelliae	0	0	0.00457289	0	0	0	0	0	0.00663629	0
Prevotella multisaccharivorax	0	0	1.91147	0	0	0	0	0	0.00663629	0
Alistipes putredinis	0	0	0.00914578	0.000946298	0	0	0	0	1.17462	0
Prevotella maculosa	0	0	1.66911	0.000946298	0	0	0	0	0.00442419	0
Fusobacterium nucleatum	0	0	44.6817	0.00283889	0	0	0	0	0.473388	0
Prevotella oralis	0	0	1.04262	0	0	0	0	0	0.0597266	0
Dialister micraerophilus	0	0	0.0274374	0	0	0	0	0	0.00442419	0
Prevotella bergensis	0	0	0.0960307	0	0	0	0	0	0.0331814	0
Escherichia coli	0	0	0.0503018	4.82224	1.2898	6.79265	13.6503	12.3546	0.00663629	0
Prevotella bryantii	0	0	0.0137187	0	0	0	0	0	0	0
Prevotella nigrescens	0	0	0.301811	0	0	0	0	0	0.0176968	0
