scientific_name	relative_abundance1	relative_abundance2	relative_abundance3	relative_abundance4	relative_abundance5	relative_abundance6	relative_abundance7	relative_abundance8	relative_abundance9	relative_abundance10
Bacteroides sartorii	0.0488067	0	0.0134323	0.00433388	2.26024	0	0	0.0111732	0.0299222	0
Bacteroides sp. MC_16	0.014642	0.00892379	0.00335807	0.0260033	0.763878	0.0151469	0.0478552	0.00372439	0	0
Bacteroides stercorirosoris	0.00488067	0.0223095	0.0671614	0.00866776	0	0.00908815	0.0261028	0	0	0
Bacteroides stercoris	0.51247	0.535427	0.758924	35.1088	0.0366243	13.4899	0.0696076	0.0707635	0.0648314	0
Bacteroides thetaiotaomicron	0.605203	0.223095	8.11982	1.78123	0.00523204	0.736141	3.31071	0.201117	0.164572	0.0100306
Bacteroides uniformis	0.902924	0.762984	0.134323	5.53437	0.0889447	11.2148	7.93527	6.89013	0.214442	0.182222
Bacteroides vulgatus	0.795549	3.76138	0.154471	5.59504	0.00523204	0.49379	0.195771	1.13222	1.66068	1.21705
Bacteroides xylanisolvens	0.00488067	0.0490808	0.392894	0.073676	0.00523204	0.0212057	0.134865	0.108007	0.00498703	0
Bacteroides zoogleoformans	0	0	0	0	0	0.00605877	0	0.0484171	0	0
Barnesiella viscericola	0.107375	0.254328	0.983915	0.0216694	0.0156961	0.00302939	3.43687	0.0111732	0.379015	0.513232
Bifidobacterium adolescentis	0	0.383723	0.0100742	0	0.00523204	0.00605877	0.0478552	0.752328	0	7.73693
Bifidobacterium animalis	0	0.00892379	0.00671614	0	0	0	0	0.0223464	0	0.078573
Bifidobacterium biavatii	0	0	0.0402969	0	0.0209282	0	0	0	0	0.0685424
Bifidobacterium bifidum	0.00976134	0	0	0	0.0209282	0	0	0.00372439	0	0.0200612
Bifidobacterium boum	0.00488067	0.0178476	1.02757	0	0.00523204	0	0.00870095	0.018622	0	0.00835883
Bifidobacterium breve	0.00488067	0.392647	0.0167904	0	0.0941767	0	0.0478552	0.700186	0.00498703	0
Bifidobacterium catenulatum	0	0	0.0638034	0	0.141265	0	0	0	0	0.00334353
Bifidobacterium choerinum	0	0.0356952	0.00335807	0	0.219746	0	0.00435047	0.0484171	0	0.0300918
Bifidobacterium dentium	0	0	0.194768	0	0.00523204	0	0	0	0	0.0117024
Bifidobacterium gallicum	0	0.174014	1.34994	0.00433388	0.0104641	0	0.00435047	0.100559	0	0
Bifidobacterium longum	0.0244033	0.530966	0.00671614	0	0.0418563	0.00302939	0.0435047	0.957169	0.00997407	4.32151
Bifidobacterium magnum	0	0.0044619	0.510427	0	0	0.00302939	0	0	0	0
Bifidobacterium pseudocatenulatum	0.014642	0.419418	0.00335807	0	0.00523204	0	0	0.00372439	0	0.152131
Bifidobacterium pseudolongum	0	0.0044619	0.0134323	0	0	0	0	0	0	0.0752295
Bifidobacterium pullorum	0	0.0044619	0.00335807	0	0.0627845	0	0	0	0	0
Bifidobacterium reuteri	0	0	0.147755	0	5.17972	0	0.00435047	0	0	0.00668706
Bifidobacterium ruminantium	0	0	0	0	0	0	0	0	0	0.0969624
Bifidobacterium saguini	0	0.0624665	0.0167904	0	0.0209282	0	0.00870095	0.111732	0	0.123711
Bifidobacterium scardovii	0	0.00892379	0.00335807	0	0	0	0	0	0	0.168848
Bifidobacterium thermacidophilum	0	0	0.0134323	0	0	0	0	0	0	0
Bifidobacterium thermophilum	0	0	0.0436549	0	0	0	0	0	0	0.00167177
Bifidobacterium tsurumiense	0	0.0223095	0.439907	0	0.408099	0	0	0.00744879	0	0.00167177
Bilophila wadsworthia	0.0488067	0.0892379	1.36002	0.0780099	0	0.24841	0.00435047	0.417132	0	0.00668706
Blautia coccoides	0	0	0	0.00866776	0.141265	0.157528	0.0304533	0	0	0.0518247
Blautia glucerasea	0.673532	2.0614	1.07122	0.715091	0.00523204	3.38988	0.495954	0.0670391	0.194494	0.580103
Blautia hydrogenotrophica	0	0	0	0.0130016	0.00523204	0.290821	0	0	0	0.197268
Blautia obeum	0.536873	1.45904	0.0235065	1.19182	0.00523204	4.05938	2.39711	0.242086	0.0847796	1.41599
Blautia producta	0.00488067	0.0356952	0.00335807	0.0910115	0.0104641	0.869434	0.139215	0.0111732	0	0.0986342
Blautia schinkii	0	0.0133857	0.00335807	0.0130016	0.00523204	0.0605877	0.0261028	0	0	0.112008
Brevibacillus choshinensis	0.00488067	0.0044619	0.00335807	0	0	0.00605877	0.00435047	0	0	0
Caldilinea aerophila	0.00488067	0.00892379	0.0100742	0.00433388	0	0.00605877	0	0	0	0.00167177
Caldithrix abyssi	0	0	0.00335807	0.0216694	0.00523204	0	0	0	0	0
Campylobacter hominis	0	0	0	0.00433388	0.0104641	0	0	0	0	0
Campylobacter showae	0	0	0.0201484	0	0	0	0	0	0	0
Candidatus Babela massiliensis	0	0	0	0	0	0	0	0	0	0.00167177
Candidatus Koribacter versatilis	0	0	0	0	0	0	0	0	0	0.00167177
Candidatus Solibacter usitatus	0	0	0	0	0	0	0	0	0	0.00668706
Catabacter hongkongensis	0.00488067	0.0223095	0	0	0	0	0	0	0	0.00668706
Cellulosilyticum lentocellum	0	0	0.00335807	0	0	0	0	0	0	0.00334353
Chloroherpeton thalassium	0	0	0	0	0	0.00302939	0	0	0	0
Christensenella minuta	0	0.0044619	0.0167904	0.0260033	0.00523204	0.0545289	0.00435047	0	0	0.18891
Cloacibacterium normanense	0	0.0044619	0	0	0	0	0	0	0	0
Clostridioides difficile	0	0	0	0	0	0	0.0217524	0	0	0.00668706
Clostridium aminobutyricum	0	0.0044619	0	0.00433388	0	0.00302939	0.00870095	0.0335196	0	0.0100306
Clostridium baratii	0	0	0.0235065	0	0	0	0	0	0.00498703	0
Clostridium beijerinckii	0.00976134	0	0.00335807	0.00866776	0	0	0	0.00372439	0	0.0167177
Clostridium botulinum	0	0	0.0839518	0	0	0	0	0	0	0
Clostridium butyricum	0	0	0.0167904	0.00433388	0	0.00605877	0	0	0	0
Clostridium celatum	0	0	0.0100742	0	0	0	0	0	0	0.00334353
Clostridium chartatabidum	0	0	0.0167904	0.333709	0	0.00605877	0	0	0	0.0100306
Clostridium chauvoei	0	0.0044619	0	0	0.0104641	0	0	0	0.00498703	0
Clostridium cylindrosporum	0	0	0	0.00866776	0	0	0	0	0	0
Clostridium maximum	0.00488067	0.0267714	0.00671614	0.00433388	0.0418563	0.0242351	0.00870095	0.00372439	0	0.0351071
Clostridium moniliforme	0	0	0.094026	0.00433388	0	0	0	0	0	0.00167177
Clostridium paraputrificum	0	0	0.00335807	0.00866776	0	0	0	0	0	0.548339
Clostridium pasteurianum	0	0.0044619	0.00335807	0	0	0	0	0	0	0
Clostridium perfringens	0	0	0.0134323	0	0	0	0.00870095	0	0	0.02842
Clostridium puniceum	0	0	0.0772356	0	0	0	0	0	0	0
Clostridium saccharoperbutylacetonicum	0	0	0.0805937	0	0.00523204	0	0.0435047	0.163873	0	0.0050153
Clostridium sartagoforme	0.00488067	0	0.00335807	0	0	0	0	0.0148976	0	0.220673
Clostridium septicum	0	0.00892379	0.00671614	0	0.0313922	0	0	0.0111732	0.00498703	0
Clostridium sp.	0	0	0	0.00433388	0	0	0	0.0335196	0	0.00167177
Clostridium sp. ATCC 29733	0	0.00892379	0.00335807	0.0130016	0.0156961	0.0151469	0	0.00372439	0	0.00167177
Clostridium sp. ATCC BAA-442	0	0.0044619	0	0	0.115105	0.0121175	0.00870095	0	0	0
Clostridium tarantellae	0	0	0.137681	0.00433388	0.0209282	0	0	0	0	0.00668706
Clostridium tepidiprofundi	0	0	0	0.00433388	0	0	0	0	0	0
Clostridium tertium	0.00488067	0	0.00335807	0	0.0104641	0	0.00870095	0.342644	0	1.30063
Clostridium ventriculi	0.00488067	0	0	0	0	0	0	0.0148976	0.00498703	0.0351071
Collinsella aerofaciens	0	0	0.00335807	0	0	0	0	0.00372439	0	2.02952
Coprobacillus cateniformis	0	0.0044619	0.305584	0	0.0104641	0.0151469	0.00435047	0	0	0
Coprococcus comes	0.131778	0.120471	0.00335807	0.108347	0.0366243	0.118146	0.130514	0.0148976	0.0448833	0.424628
Coprococcus eutactus	1.10303	2.0257	0	1.38251	0.00523204	0.00302939	0.0130514	3.13222	0.00498703	0.538309
Coprothermobacter platensis	0	0	0.0134323	0	0	0	0	0	0	0
Corynebacterium humireducens	0	0	0	0.00433388	0	0.00302939	0	0	0	0
Corynebacterium tuberculostearicum	0.0195227	0.0133857	0	0	0	0	0	0	0.114702	0.00334353
Dehalococcoides mccartyi	0.00488067	0	0.00335807	0	0.0470884	0	0.00435047	0	0.00498703	0
Dehalogenimonas lykanthroporepellens	0	0.00892379	0.00335807	0.00433388	0.00523204	0.00605877	0	0	0	0
Dendrosporobacter quercicolus	0	0.0044619	0.00335807	0.00433388	0.0209282	0.00302939	0	0	0	0
Desulfomicrobium baculatum	0	0	0.00335807	0	0	0	0	0	0	0
Desulfosporosinus acidiphilus	0	0	0	0.00433388	0	0	0	0	0	0
Desulfovibrio alaskensis	0	0	0.0100742	0.00433388	0	0	0	0	0	0
Desulfovibrio desulfuricans	0	0	0	0.00866776	0.00523204	0	0	0	0	0
Desulfovibrio fairfieldensis	0	0.00892379	0	0	0	0	0	0	0	0
Desulfovibrio piger	0	0	0	0	0	0	0	0	0.0847796	0
Desulfovibrio vulgaris	0	0	0	0.00866776	0	0	0	0	0	0
Dialister invisus	5.46635	5.4569	0	0.00433388	0.0261602	3.1233	0.130514	0.670391	0	2.24184
Dialister micraerophilus	0	0.874532	0.0638034	0	0	0	0	0	0	0.570072
Dialister pneumosintes	0.102494	0	0	0	0.23021	0	0	0	0.0199481	0
Dorea formicigenerans	0.117136	0.129395	0.00335807	0.0650082	0.863287	0	0.130514	0.00372439	0	0.356086
Draconibacterium orientale	0.00488067	0	0	0	0	0.00302939	0	0	0	0
Effusibacillus pohliae	0.00976134	0	0	0	0	0	0	0	0	0
Eggerthella lenta	0	0	0	0.0173355	0.292994	0.0605877	0.00435047	0	0	0
Eggerthella sp. YY7918	0.00488067	0.0223095	0	0	0	0	0.00870095	0	0	0.175535
Emticicia oligotrophica	0	0	0.00671614	0	0	0	0.00435047	0	0	0
Enterococcus casseliflavus	0	0	0.00335807	0	0	0	0.00435047	0	0	0
Enterococcus sulfureus	0	0	0.094026	0	0	0	0	0	0	0
Erysipelatoclostridium ramosum	0	0	0	0.00433388	0.0941767	0.0272645	0.00435047	0	0	0
Escherichia coli	0	0	0	0	0	0	0	0.00372439	0	0
Ethanoligenens harbinense	0	0	0	0.00433388	0	0.0121175	0	0	0	0.0234047
Eubacterium desmolans	0.043926	0.116009	0.00671614	0.0390049	0.0104641	0.0514995	0.400244	0.595903	0.00997407	0.481468
Eubacterium plexicaudatum	0.00976134	0	0.218275	0.00866776	5.03322	0	0	0	0	0.00334353
Eubacterium limosum	0	0	0	0	0	0.227204	0	0	0	0
Eubacterium ramulus	0.0780907	0.0267714	0.248497	0.0260033	0	0	0.0652571	0.0372439	0.00997407	0.438003
Eubacterium ventriosum	0.0341647	0.0490808	0.0973841	0.104013	0.23021	0.00302939	0.165318	0.0335196	0.0199481	0.0802447
Eubacterium xylanophilum	0	0	0.0201484	0.00433388	0.00523204	0	0.0304533	0.197393	0	0.0618553
Exiguobacterium aurantiacum	0.00488067	0	0	0	0	0	0	0	0	0
Facklamia hominis	0	0	11.0346	0	0.0156961	0	0.0261028	0	0	0
Faecalibacterium sp. MC_41	2.15237	15.3534	0.0570872	6.6135	0.00523204	1.51166	19.96	13.0652	0.812886	5.48673
Faecalitalea cylindroides	0	0	0	0	0	0.0151469	0	0	0	0
Finegoldia magna	0	0	0.00335807	0	0	0	0	0	0.00498703	0.00668706
Fusobacterium periodonticum	0	0	0.00671614	0	0	0	0	0	0	0
Fusobacterium varium	0	0	0	0	0.245906	0	0	0	0	0
Gemella haemolysans	0.00976134	0	0.0100742	0.00433388	2.20792	0.00605877	0.00435047	0	0	0
Gloeobacter violaceus	0.00488067	0	0	0	0	0	0	0	0	0
Haemophilus haemolyticus	0	0	4.84905	0	0	0	0	0	0	0
Haemophilus parainfluenzae	0.131778	0.0580046	0.0134323	0.572072	0	0.00908815	0.295832	0.0409683	0	0.02842
Haemophilus paraphrohaemolyticus	0	0	0.0369388	0	0	0	0	0.00372439	0	0
Haemophilus sputorum	0	0	0.00671614	0	0	0	0	0	0	0
Hallella seregens	0	0.0044619	0	0	0	0	0	0	0	0
Halobacteriovorax marinus	0.00488067	0	0	0	0	0	0	0	0	0
Holdemanella biformis	0.444141	0	0	0.00433388	0	0.00302939	0	0	0.144624	0.00167177
Holdemania filiformis	0.00488067	0.0312333	0.00335807	0	0.00523204	0.0514995	0.0174019	0.018622	0	0.00334353
Iamia majanohamensis	0	0	0.0100742	0	0	0	0	0	0	0
Ignavibacterium album	0	0	0.0570872	0	0	0.0151469	0	0	0	0
Intestinibacter bartlettii	0.00488067	0.0267714	0.00335807	0.42472	0.00523204	0	1.8533	0.49162	0.0199481	2.21676
Kandleria vitulina	0.380692	1.86953	0.00335807	0	0	0	0	0	0	0
Lachnoanaerobaculum saburreum	0	0.00892379	0	0	0	0.00302939	0.00435047	0	0	0
Lachnobacterium bovis	0	0	0	0.00433388	0	0	0.00435047	0	0	0
Lactobacillus backii	0	0	0.00335807	0	0	0	0	0	0	0
Lactobacillus casei	0	0	0	0	0.00523204	0	0	0	0	0
Lactobacillus coryniformis	0	0	0.00335807	0	0	0	0	0	0	0
Lactobacillus crispatus	0	0	0.00335807	0	0.00523204	0	0.00435047	0.00744879	0	0.00167177
Lactobacillus kefiranofaciens	0	0	0.00335807	0.00433388	0	0.00302939	0	0.00372439	0	0
Lactobacillus kunkeei	0.00488067	0	0.00335807	0	0	0	0	0	0	0
Lactobacillus mucosae	0	0	0.00335807	0	0	0.00302939	0	0	0	0
Lactobacillus nasuensis	0	0	0.00335807	0	0	0	0	0	0	0
Lactobacillus nodensis	0	0	0.00335807	0	0	0	0	0	0	0
Lactobacillus plantarum	0	0	0.00335807	0	0.00523204	0	0	0	0	0
Lactobacillus reuteri	0	0	0.00335807	0	0.0104641	0	0	0	0	0
Lactobacillus ruminis	0.00488067	0	0	0	0	0	0	0	0	0
Lactobacillus sharpeae	0	0.0044619	0	0	0	0	0	0	0	0
Lactobacillus sp. NBRC 107185	0.00488067	0	0.00671614	0.00433388	0.00523204	0	0	0	0.00498703	0
Lactococcus lactis	0	0	0.00335807	0.00433388	0	0.0242351	0.0130514	0	0.00498703	0.00167177
Lactococcus raffinolactis	0	0	0.00671614	0	0	0	0	0	0	0
Lactonifactor longoviformis	0	0	0	0	1.19814	0.00302939	0	0	0	0
Lautropia mirabilis	0	0	0.00335807	0	0	0	0	0	0	0
Leptonema illini	0	0	0.00335807	0	0	0	0	0	0	0
Leptotrichia goodfellowii	0	0	0.00335807	0	0	0	0.00435047	0	0	0
Leuconostoc citreum	0	0	0.00671614	0	0	0	0	0	0	0
Mannheimia haemolytica	0	0	0.00335807	0	0	0	0	0	0	0
Marinifilum fragile	0	0.0044619	0	0.0650082	0	0.0121175	0	0	0	0
Melioribacter roseus	0	0	0	0.00866776	0	0	0	0	0	0
Megasphaera elsdenii	2.06452	0	0	0	0	0	0.00435047	0	0.00498703	0
Mesorhizobium australicum	0	0	0.00335807	0	0	0	0	0	0	0
Methanobrevibacter smithii	0	0.0044619	0	0.00433388	0	0	0	0	0	0.0317635
Microbacterium sp. JCM 9637	0	0	0.00335807	0	0	0	0	0	0	0
Mitsuokella multacida	0	0.107085	0	0	0	0	0	0	0	0
Mycobacterium chubuense	0	0	0	0	3.03458	0	0	0	0	0
Myroides odoratimimus	0	0	0.00335807	0	0	0	0	0	0	0
Neisseria elongata	0	0	0	0.00433388	0	0	0	0	0	0
Neisseria lactamica	0.00976134	0	0	0	0	0	0	0	0	0
Nitrosomonas sp. Is79A3	0	0	0.2082	0	0	0	0	0	0	0
Odoribacter splanchnicus	0.117136	0.111547	0.00335807	1.2785	0.130801	0.0333232	0.0348038	0.111732	0.0698185	0.0869318
Olsenella uli	0	0	1.19547	0	0	0	0	0	0	0.152131
Oscillibacter valericigenes	0.312363	0.383723	0.00335807	0.741094	0.0261602	0.569524	1.17463	1.67598	0.119689	3.23654
Owenweeksia hongkongensis	0	0	0	0.00433388	0	0	0	0	0	0
Oxalobacter formigenes	0.00976134	0	0	0	0	0	0	0	0	0.0117024
Paenibacillus alginolyticus	0	0	0.0100742	0	0	0	0	0	0	0
Paenibacillus dendritiformis	0	0	0.0100742	0	0	0	0	0	0	0
Paludibacter propionicigenes	0	0	1.05443	0.00433388	0	0.00605877	0	0.00372439	0	0.00167177
Parabacteroides distasonis	0.956611	0.758522	0.00335807	0.858109	0.0575524	0.0212057	1.48351	0.197393	0.119689	0.0585118
Parabacteroides goldsteinii	0.00976134	0.00892379	0	0	0.00523204	0.00302939	0	0	0	0.0401224
