Especie	ERR475482	ERR47553	ERR378968	ERR479011	ERR479024	ERR479029	ERR479037	ERR479065	ERR479146
[Clostridium] symbiosum	0.0211324	0.00513954	0	0	0	0.41664	0.64121	0	0.31087
[Clostridium] thermosuccinogenes	0.00264155	0.162129	0	0	0	0	0	0	0
[Clostridium] viride	0.0132078	0.00233615	0	0	0	0	0	0	0
[Clostridium] xylanolyticum	0.00264155	0.0266322	0	0	0	0	0	0	0
[Eubacterium] brachy	0.0277363	0.00981185	0	0	0	0	0	0.09352	0
[Eubacterium] contortum	0.0277363	0.00420508	0	0	0	0	0	0	0
[Eubacterium] dolichum	0	0	0	0	0	0	0	0	0.63729
[Eubacterium] eligens	0.0686804	0.657861	0.77795	0	0	1.63519	0.4885	2.56525	0
[Eubacterium] fissicatena	0.00660389	0.00280338	0	0	0	0	0	0	0
[Eubacterium] hallii	2.03532	2.18991	0.32179	0.52914	0	0.23986	0.00151	0.78505	0.17263
[Eubacterium] infirmum	0	0	0	0	0	0	0.21825	0.02849	0
[Eubacterium] nodatum	0	0.00140169	0	0	0	0	0	0	0
[Eubacterium] rectale	0	0.00513954	7.89457	7.01668	0.84024	0.06747	1.89813	1.2556	0
[Eubacterium] siraeum	0.0290571	0.125685	0.03593	2.16132	0	0	0	5.15743	0
[Eubacterium] sulci	0.191513	0.0289683	0	0	0	0	0	0	0
[Eubacterium] yurii	0.00132078	0.0144842	0	0	0	0	0	0	0
[Ruminococcus] gnavus	0.157172	0.277535	0.0177	0	0	0	0.26089	0	5.91561
[Ruminococcus] torques	0.00792466	0	5.00255	3.76968	2.90317	0.81402	0.77009	1.08216	0.67482
Acanthopleuribacter pedis	0	0.000467231	0	0	0	0	0	0	0
Acholeplasma axanthum	0	0.00140169	0	0	0	0	0	0	0
Acholeplasma brassicae	0.00132078	0	0	0	0	0	0	0	0
Acidaminococcus fermentans	0.0198117	0.00186892	0	0	0	0	0	0	0
Acidaminococcus intestini	0.0607557	0.0107463	0	0	0	0	0	0	0
Acinetobacter bereziniae	0	0.00420508	0	0	0	0	0	0	0
Acinetobacter tjernbergiae	0.0171701	0	0	0	0	0	0	0	0
Actinomyces cardiffensis	0.00132078	0	0	0	0	0	0	0	0
Actinomyces gerencseriae	0.00132078	0	0	0	0	0	0	0	0
Actinomyces graevenitzii	0	0	0	0.00621	0	0	0	0	0
Actinomyces israelii	0	0.000467231	0	0	0	0	0	0	0
Actinomyces lingnae	0.00528311	0.000934462	0	0	0	0	0	0	0
Actinomyces meyeri	0.00264155	0	0	0	0	0	0	0	0
Actinomyces naeslundii	0.00132078	0.000467231	0	0	0	0	0	0	0
Actinomyces odontolyticus	0.0277363	0.00186892	0	0	0	0	0	0	0.00999
Actinomyces sp.	0.00132078	0	0	0	0	0	0	0	0
Actinomyces suimastitidis	0.00132078	0	0	0	0	0	0	0	0
Adlercreutzia equolifaciens	0	0	0	0.01573	0	0	0	0.00204	0.00824
Akkermansia muciniphila	0.194154	0.256042	0.31477	1.23344	0.21288	31.2991	0	0.76646	0.07234
Alcaligenes faecalis	0	0.000934462	0	0	0	0	0	0	0
Alicyclobacillus sp. FR-12	0	0.000467231	0	0	0	0	0	0	0
Alistipes finegoldii	0	0	0	0.22111	0	0	0.69312	0.12089	0
Alistipes indistinctus	0.00396233	0.000467231	0	0.05236	0	0.01322	0	0.01241	0
Alistipes obesi	0	0	0	0.78309	0	0.37476	0	0.08631	0
Alistipes onderdonkii	0.00132078	0.00140169	0.28056	2.75073	0	0	2.3023	0.13748	0
Alistipes putredinis	0.0105662	0.00233615	2.65278	2.55612	0	0.0488	3.8725	0.12379	4.13666
Alistipes senegalensis	0	0	0.02704	0.04772	0	0	0.05034	0.01287	0
Alistipes senegalensis	0	0	0	0	0	0	0	0	0
Alistipes senegalensis	0	0	0	0	0	0	0	0	0
Alistipes shahii	0	0	1.21011	0	0	0.02039	0	0.75163	0.09157
Alistipes sp. MC_19	0.00528311	0	0	0	0	0	0	0	0
Alistipes timonensis	0.0462272	0.000467231	0	0	0	0	0	0	0
Alkalibacter saccharofermentans	0.00132078	0.000467231	0	0	0	0	0	0	0
Alloprevotella rava	0	0	0	0	0	0	0.01243	0	0
Alloprevotella tannerae	0	0	0	0	0	0	0	1.11708	0
Alloscardovia omnicolens	0.011887	0	0	0	0	0	0	0.00464	0
Anaerobacillus macyae	0	0.000467231	0	0	0	0	0	0	0
Anaerobranca horikoshii	0.00132078	0	0	0	0	0	0	0	0
Anaerococcus obesiensis	0	0	0	0	0	0	0	0.00074	0
Anaerococcus vaginalis	0	0	0.02258	0	0	0	0	0.00353	0
Anaerocolumna aminovalerica	0.00396233	0.00280338	0	0	0	0	0	0	0
Anaerofilum pentosovorans	0.0541519	0.0336406	0	0	0	0	0	0	0
Anaerofustis stercorihominis	0.00264155	0.0163531	0	0	0	0	0	0	0
Anaerolinea thermophila	0.00264155	0	0	0	0	0	0	0	0
Anaerosporobacter mobilis	0	0.00140169	0	0	0	0	0	0	0
Anaerostipes butyraticus	0.0396233	0.192499	0	0	0	0	0	0	0
Anaerostipes caccae	0.035661	0.0855032	0	0	0	0	0	0	0
Anaerostipes hadrus	0	0	0.09253	0	0	0.18285	0	0.01116	0
Anaerotruncus colihominis	0.0224532	0.0602728	0	0.00227	0	0	0	0	0.19302
Arthrobacter tumbae	0.00132078	0	0	0	0	0	0	0	0
Atopobium parvulum	0.0343402	0.000467231	0	0	0	0	0.05488	0.00616	0.00298
Atopobium rimae	0.0105662	0	0	0	0	0	0.00978	0	0
Bacillus alcalophilus	0.00132078	0.000467231	0	0	0	0	0	0	0
Bacillus carboniphilus	0.00132078	0	0	0	0	0	0	0	0
Bacillus clausii	0.00132078	0	0	0	0	0	0	0	0
Bacillus gaemokensis	0.175663	0.012148	0	0	0	0	0	0	0
Bacillus megaterium	0.00132078	0.000467231	0	0	0	0	0	0	0
Bacillus panaciterrae	0	0.00373785	0	0	0	0	0	0	0
Bacillus pumilus	0.00132078	0.000934462	0	0	0	0	0	0	0
Bacillus shackletonii	0	0.000467231	0	0	0	0	0	0	0
Bacillus sp. NBRC 3527	0.00132078	0	0	0	0	0	0	0	0
Bacillus thuringiensis	0.00264155	0.00140169	0	0	0	0	0	0	0
Bacteroides barnesiae	0	0.0140169	0	0	0	0	0	0.03396	0
Bacteroides caccae	0.0158493	0.000467231	7.8246	3.17066	0	1.4267	0	0.00076	0
Bacteroides cellulosilyticus	0.0132078	0.00140169	0.46074	4.94718	0	0	3.61105	0.16089	0.99888
Bacteroides clarus	0	0	1.89472	0.05721	0	0	0	0	0
Bacteroides coprocola	0.00792466	0.0140169	0	0	0	0	0	0	0
Bacteroides coprophilus	0	0.00560677	0	0	0	0	0	0	0
Bacteroides dorei	0	0.000467231	2.8261	0.05615	0	0	7.22371	0.17401	0.00735
Bacteroides eggerthii	0.00264155	0.00186892	0	0	0	0.15103	0	0.00191	0
Bacteroides fragilis	0.00264155	0.000934462	0.47463	0.24307	0	1.30921	2.62744	0	4.41356
Bacteroides gallinarum	0.00132078	0.000467231	0	0	0	0	0	0	0
Bacteroides helcogenes	0	0.000467231	0	0	0	0	0	0	0
Bacteroides intestinalis	0	0	1.25312	0.71337	1.93618	0	0.22289	0	0
Bacteroides massiliensis	0	0.000934462	5.93187	0	5.51511	0	0	0	0
Bacteroides nordii	0	0	0.01385	0	1.5308	0	0	0.12562	0
Bacteroides oleiciplenus	0	0	0	0	0	0	0.00391	0	0
Bacteroides ovatus	0.0145285	0.00327062	0.61879	0.06679	2.48989	0.02413	0.85007	0	3.69103
Bacteroides plebeius	0.00132078	0.0228943	0	0	0	0.0434	0.71302	0	0
Bacteroides reticulotermitis	0	0.000467231	0	0	0	0	0	0	0
Bacteroides salanitronis	0	0	0	0	0	0.25947	0	0	0
Bacteroides salyersiae	0	0	0	0	0	0	2.83555	0	0
Bacteroides stercoris	0.00132078	0.0140169	0	0.01282	0	0	12.7329	0	0.00231
Bacteroides thetaiotaomicron	0.00660389	0.00233615	1.13506	0.21488	2.86287	0.14511	1.79679	0	0
Bacteroides uniformis	0.0105662	0.00981185	12.3334	9.07484	1.20292	0.55048	2.0658	0.34144	8.99996
Bacteroides vulgatus	0.0211324	0.00654123	7.49068	0.45639	3.26358	7.18435	0	1.45383	0.82443
Bacteroides xylanisolvens	0	0	0.07935	0.01308	0.13305	0.07784	0.00544	0.04518	0
Barnesiella intestinihominis	0	0	2.88094	1.4718	0	4.04363	0.16959	0.18412	0
Barnesiella viscericola	0.00264155	0.00186892	0	0	0	0	0	0	0
beta proteobacterium HTCC379	0.00132078	0	0	0	0	0	0	0	0
Bifidobacterium actinocoloniiforme	0.00264155	0	0	0	0	0	0	0	0
Bifidobacterium adolescentis	0.176984	0.00186892	0	0.11035	0	1.63239	0	0.0993	0
Bifidobacterium animalis	0.00132078	0.012148	0	0	0	0	0	0	0
Bifidobacterium asteroides	0.00132078	0.000467231	0	0	0	0	0	0	0
Bifidobacterium bifidum	0.0435856	0.000467231	0	0	0	0	0	0	0
Bifidobacterium bifidum	0	0	0	0	0	0	0	0	15.3118
Bifidobacterium boum	0.00264155	0.000467231	0	0	0	0	0	0	0
Bifidobacterium breve	0.00132078	0.00140169	0	0	0	0	0	0	0
Bifidobacterium catenulatum	0	0.000467231	0	0	0	0	0	0	0
Bifidobacterium choerinum	0.00264155	0.000934462	0	0	0	0	0	0	0
Bifidobacterium commune	0.00132078	0	0	0	0	0	0	0	0
Bifidobacterium dentium	0	0.000467231	0	0	0	0	0	0	0.46015
Bifidobacterium gallicum	0.00660389	0.00280338	0	0	0	0	0	0	0
Bifidobacterium gallinarum	0.00132078	0	0	0	0	0	0	0	0
Bifidobacterium indicum	0	0.00140169	0	0	0	0	0	0	0
Bifidobacterium longum	0.0158493	0.00513954	0	6.58401	0	0.83198	0.00243	0.3388	9.29595
Bifidobacterium minimum	0.00132078	0	0	0	0	0	0	0	0
Bifidobacterium pseudocatenulatum	0.00264155	0.00747569	0	0.82315	0	0	0	0	0
Bifidobacterium pseudolongum	0.0145285	0.00280338	0	0	0	0	0	0	0.04976
Bifidobacterium pullorum	0.011887	0.0200909	0	0	0	0	0	0	0
Bifidobacterium saeculare	0.00264155	0	0	0	0	0	0	0	0
Bifidobacterium saguini	0.130757	0.0411163	0	0	0	0	0	0	0
Bifidobacterium scardovii	0.0343402	0.0313045	0	0	0	0	0	0	0
Bifidobacterium stellenboschense	0.00660389	0.00373785	0	0	0	0	0	0	0
Bifidobacterium thermophilum	0.00132078	0	0	0	0	0	0	0	0
Bifidobacterium tsurumiense	0.00660389	0.00280338	0	0	0	0	0	0	0
Bilophila wadsworthia	0	0.00280338	0.03203	0.08198	0	0.02259	0.03019	0	0.10498
Blautia coccoides	0.00264155	0.018222	0	0	0	0	0	0	0
Blautia glucerasea	0.0779259	0.276601	0	0	0	0	0	0	0
Blautia hydrogenotrophica	0.178305	0.0345751	0	0	0.51733	0.05507	0	0	0.12121
Blautia obeum	8.44505	7.82051	1.86836	0.62304	0.14706	1.16616	0.16653	1.58527	0.10237
Blautia producta	0.523028	0.465362	0	0	0	0	0	0	0.02859
Blautia schinkii	0.00792466	0.0126152	0	0	0	0	0	0	0
Brenneria alni	0	0.000467231	0	0	0	0	0	0	0
Brevibacillus choshinensis	0.00792466	0.00280338	0	0	0	0	0	0	0
Brevundimonas diminuta	0.00792466	0	0	0	0	0	0	0	0
Brevundimonas naejangsanensis	0.00264155	0	0	0	0	0	0	0	0
Bulleidia extructa	0.0316987	0.00420508	0	0	0	0	0.1132	0.00052	0
Burkholderiales bacterium 1_1_47	0	0	0	0.00374	0	0	0	0.01261	0.0195
Butyrivibrio crossotus	0.00924544	0.0644778	0.41993	0.03454	0	0	0	31.4852	0
Caldicellulosiruptor saccharolyticus	0.00132078	0	0	0	0	0	0	0	0
Caldilinea aerophila	0.00132078	0.00280338	0	0	0	0	0	0	0
Campylobacter gracilis	0	0	0	0	0	0	0.02924	0	0
Carnobacterium maltaromaticum	0	0.00140169	0	0	0	0	0	0	0
Catabacter hongkongensis	0	0.00140169	0	0	0	0	0	0	0
Catenibacterium mitsuokai	0	0	0	0	0	0	0	0.11879	0
Catonella morbi	0	0	0	0	0	0	0.02622	0	0
Caulobacter segnis	0.00264155	0	0	0	0	0	0	0	0
Cellulosilyticum lentocellum	0.00132078	0	0	0	0	0	0	0	0
Chloroherpeton thalassium	0	0.000467231	0	0	0	0	0	0	0
Christensenella minuta	0.0211324	0.0556005	0	0	0	0	0	0	0
Cloacibacterium normanense	0	0.00654123	0	0	0	0	0	0	0
Clostridiaceae bacterium JC118	0	0	0	0.0138	0	0	0	0	0
Clostridiales bacterium 1_7_47FAA	0	0	0	0.00421	0	0	0.03014	0	0.57204
Clostridioides difficile	0.00264155	0	0	0	0	0	0	0	0
Clostridium acetireducens	0	0.000467231	0	0	0	0	0	0	0
Clostridium aminobutyricum	0	0.00373785	0	0	0	0	0	0	0
Clostridium baratii	0	0.000467231	0	0	0	0	0	0	0
Clostridium beijerinckii	0	0.000934462	0	0	0	0	0	0	0
Clostridium botulinum	0.00132078	0	0	0	0	0	0	0	0
Clostridium butyricum	0.00264155	0	0	0	0	0	0	0	0
Clostridium carboxidivorans	0	0.000467231	0	0	0	0	0	0	0
Clostridium celatum	0.00132078	0	0	0	0	0	0	0	0
Clostridium chartatabidum	0.0211324	0.0873722	0	0	0	0	0	0	0
Clostridium formicaceticum	0.00132078	0.000934462	0	0	0	0	0	0	0
Clostridium halophilum	0	0.000467231	0	0	0	0	0	0	0
Clostridium maximum	0.00132078	0.00327062	0	0	0	0	0	0	0
Clostridium paraputrificum	0	0.000934462	0	0	0	0	0	0	0
Clostridium pascui	0.00264155	0.000467231	0	0	0	0	0	0	0
Clostridium perfringens	0	0.00467231	0	0	0	0	0	0	0
Clostridium puniceum	0.00264155	0.000934462	0	0	0	0	0	0	0
Clostridium quinii	0.00264155	0	0	0	0	0	0	0	0
Clostridium saccharoperbutylacetonicum	0.0211324	0.0915772	0	0	0	0	0	0	0
Clostridium sardiniense	0.00132078	0.000467231	0	0	0	0	0	0	0
Clostridium sartagoforme	0.0330194	0.0864377	0	0	0	0	0	0	0
Clostridium septicum	0.00132078	0.00233615	0	0	0	0	0	0	0
Clostridium sp. 40cc-B-5824-ARE	0.00132078	0.000934462	0	0	0	0	0	0	0
Clostridium sp. ATCC 29733	0.00792466	0.000934462	0	0	0	0	0	0	0
Clostridium sp. L2-50	0	0	0	0	0	3.03438	0	0	0
Clostridium tarantellae	0.00396233	0	0	0	0	0	0	0	0
Clostridium tertium	0.0607557	0.097184	0	0	0	0	0	0	0
Clostridium tetanomorphum	0.00132078	0.000467231	0	0	0	0	0	0	0
Clostridium tyrobutyricum	0.00132078	0	0	0	0	0	0	0	0
Clostridium ventriculi	0.00132078	0.006074	0	0	0	0	0	0	0
Collinsella aerofaciens	0	0	0	0.83612	0	0	0.31626	0.90379	0
Coprobacillus cateniformis	0.00660389	0.00280338	0	0	0	0	0	0	0
Coprobacter fastidiosus	0	0	0	0.01623	0	0	0	0	0
Coprococcus catus	0	0	0.86951	0.1868	0.07075	0.56027	0.00966	0.31664	0
Coprococcus comes	0.00396233	0.638237	2.81851	0.6926	0.6322	0	0.23449	0.09662	5.25197
Coprococcus eutactus	0.0343402	2.51604	0	0	0	0	0.88422	0.47114	0
Corynebacterium glutamicum	0	0.000934462	0	0	0	0	0	0	0
Corynebacterium kroppenstedtii	0	0.000467231	0	0	0	0	0	0	0
Dehalococcoides mccartyi	0.00132078	0.0102791	0	0	0	0	0	0	0
Dehalogenimonas lykanthroporepellens	0	0.000467231	0	0	0	0	0	0	0
Desulfobacca acetoxidans	0.00132078	0	0	0	0	0	0	0	0
Desulfomicrobium baculatum	0	0.000467231	0	0	0	0	0	0	0
Desulfomonile tiedjei	0	0.000467231	0	0	0	0	0	0	0
Desulfosporosinus orientis	0.00132078	0.00373785	0	0	0	0	0	0	0
Desulfosporosinus youngiae	0.00264155	0	0	0	0	0	0	0	0
Desulfotomaculum acetoxidans	0.00132078	0.000934462	0	0	0	0	0	0	0
Desulfotomaculum aeronauticum	0	0.000934462	0	0	0	0	0	0	0
Desulfotomaculum nigrificans	0.00132078	0.000467231	0	0	0	0	0	0	0
Desulfotomaculum reducens	0	0.000467231	0	0	0	0	0	0	0
Desulfovibrio desulfuricans	0.149248	0.000467231	0	0.39954	0	0	0	0.01679	0.01542
Desulfovibrio fairfieldensis	0.00792466	0.00186892	0	0	0	0	0	0	0
Desulfovibrio piger	0.00132078	0.0177548	0	0	0	0	0	0.09068	0
Desulfovibrio vulgaris	0	0.000467231	0	0	0	0	0	0	0
Dialister invisus	0.00396233	0.00186892	0	0	0	0	0.0952	0	0
Dialister pneumosintes	0.00132078	0.000467231	0	0	0	0	0	0	0
Dorea formicigenerans	0.00396233	1.96798	0.94276	0.23306	0	0.11306	0.07634	0.37688	0
Dorea longicatena	0	0.000467231	2.21883	0.19455	0	1.72039	0.11693	0.58593	0
Eggerthella lenta	0.00132078	0	0	0	0	0	0.0151	0	0.00303
Eggerthella sp. YY7918	0.166418	0.00560677	0	0	0	0	0	0	0
Eggerthia catenaformis	0	0	0	0	0	0	0.00528	0	0
Enorma massiliensis phI	0	0	0	0	0	1.01453	0	0	0.88399
Enterococcus casseliflavus	0.0435856	0.0154186	0	0	0	0	0	0	0
Enterococcus dispar	0.00132078	0	0	0	0	0	0	0	0
Enterococcus durans	0	0	0	0	0	0	0	4.05956	0
Enterococcus faecalis	0	0	0	0	0	0	0	4.15366	0
Enterococcus faecium	0.295854	0.772332	0	0	0	0	0	0	0
Enterococcus faecium	0	0	0	0	0	0	0	0.01383	0
Enterococcus gilvus	0.00132078	0.00186892	0	0	0	0	0	0	0
Enterococcus hirae	0.00660389	0.018222	0	0	0	0	0	0	0
Enterococcus moraviensis	0.00132078	0.00420508	0	0	0	0	0	0	0
Enterococcus sulfureus	0.0145285	0.00420508	0	0	0	0	0	0	0
Erysipelatoclostridium ramosum	0.0211324	0.00700846	0	0	0	0	0	0	0
Erysipelatoclostridium ramosum	0	0	0	0	0	0	0	0	0.05986
Erysipelothrix rhusiopathiae	0	0.00186892	0	0	0	0	0	0	0
Erysipelotrichaceae bacterium 21_3	0	0	0	0.00262	0	0	0	0	0
Erysipelotrichaceae bacterium 21_3	0	0	0	0	0	0	0	0	0.01304
Erysipelotrichaceae bacterium 5_2_54FAA	0	0	0	0.01061	0	0	0	0	0
Erysipelotrichaceae bacterium 6_1_45	0	0	0	0	0	0	0	0	0.01215
Escherichia coli	0.0277363	0.00560677	0.45579	3.81911	0	0.21226	0.65832	0.00946	6.97527
Eubacterium aggregans	0.00132078	0	0	0	0	0	0	0	0
Eubacterium desmolans	0.167739	0.760184	0	0	0	0	0	0	0
Eubacterium limosum	0	0	0	0	0	0.03053	0	0	0
Eubacterium oxidoreducens	0	0.000467231	0	0	0	0	0	0	0
Eubacterium plexicaudatum	0	0.00186892	0	0	0	0	0	0	0
Eubacterium ramulus	0.00132078	0.158391	0.12249	0.14913	0.02417	0	0.38694	0.08441	0
Eubacterium sp. 3_1_31	0	0	0	0.02816	0	0	0	0	0
Eubacterium sp. JCM 9976	0.298496	0.0238288	0	0	0	0	0	0	0
Eubacterium ventriosum	0.327553	0.209787	1.05125	0	0	0	0	0	0
Eubacterium ventriosum	0	0	0	0	0	0.02037	0	0	0
Eubacterium xylanophilum	0	0.0672812	0	0	0	0	0	0	0
Faecalibacterium prausnitzii	0	0	1.91261	8.77952	0.30952	0.84941	5.34293	5.09696	0.01012
Faecalibacterium sp. MC_41	0.610199	1.42973	0	0	0	0	0	0	0
Faecalicoccus pleomorphus	0	0.000467231	0	0	0	0	0	0	0
Faecalitalea cylindroides	0	0	0	0	0	5.92189	0	0.00769	0
Filifactor alocis	0	0	0	0	0	0	0	0.26796	0
Finegoldia magna	0	0.00233615	0	0	0	0	0	0	0
Flavonifractor plautii	0	0	0	0.0571	0	0.03702	0.00063	0	2.47788
Fructobacillus fructosus	0.00132078	0	0	0	0	0	0	0	0
Fusobacterium equinum	0	0.000467231	0	0	0	0	0	0	0
Fusobacterium gonidiaformans	0	0	0	0	38.7832	0	0	0	0
Fusobacterium mortiferum	0	0.000467231	0	0	0	0	0	0	0
Fusobacterium necrophorum	0	0	0.43171	1.19263	0	0	0	0	0
Fusobacterium nucleatum	0.0198117	0	0	0	0	0	0.04856	0.06362	0
Fusobacterium periodonticum	0.00132078	0	0	0	0	0	0	0	0
Fusobacterium ulcerans	0	0	0	0	0	0	0.03066	0	0
Fusobacterium varium	0	0	0	0	0	0	0.00559	0	0
Garciella sp. YIM G1-1	0	0.000467231	0	0	0	0	0	0	0
Gemella cuniculi	0	0.00140169	0	0	0	0	0	0	0
Gemella haemolysans	0.095096	0.0214926	0	0	0	0	0	0	0
Gemella morbillorum	0	0	0.20273	0	0	0	0	0	0
Gemella morbillorum	0	0	0	0	0	0	0.04838	0	0
Geobacter uraniireducens	0	0.000467231	0	0	0	0	0	0	0
Geodermatophilus poikilotrophus	0.011887	0	0	0	0	0	0	0	0
Gordonibacter pamelaeae	0.00132078	0	0	0	0	0.0019	0	0	0
Gottschalkia acidurici	0.00132078	0	0	0	0	0	0	0	0
Granulicatella adiacens	0.00132078	0.000467231	0	0	0	0	0	0	0
Granulicatella adiacens	0	0	0	0	0	0	0.00111	0	0
Haemophilus parainfluenzae	0	0	0.04932	0	0	0	1.77767	0	0
Hafnia alvei	0	0	0	0	0	0	0	0.01985	0
Hespellia stercorisuis	0	0.00140169	0	0	0	0	0	0	0
Holdemanella biformis	0.00264155	0	0	0	0	0	1.13833	1.4352	0
Holdemania filiformis	0	0.00513954	0	0.00239	0	0	0	0	0
Holdemania massiliensis AP2	0	0	0	0	0	0	0	0	0.61874
Hungatella hathewayi	0	0	0	0	0	0	0.04417	0.0109	1.71992
Hyphomonas jannaschiana	0	0.000467231	0	0	0	0	0	0	0
Hyphomonas polymorpha	0.00264155	0	0	0	0	0	0	0	0
Ignavibacterium album	0.00396233	0.00233615	0	0	0	0	0	0	0
Intestinibacter bartlettii	0.788504	0.124751	0.66717	0	0	0.00517	0	0	0
Kandleria vitulina	0	0.00186892	0	0	0	0	0	0	0
Kocuria kristinae	0	0.000467231	0	0	0	0	0	0	0
Komagataeibacter intermedius	0	0.000467231	0	0	0	0	0	0	0
Lachnoanaerobaculum saburreum	0.0290571	0	0	0	0	0	0	0	0
Lachnoclostridium phytofermentans	0.00264155	0.00140169	0	0	0	0	0	0	0
Lachnospiraceae bacterium 1_1_57FAA	0	0	0.46402	0	0	0.77318	0.2078	0	0
Lachnospiraceae bacterium 1_4_56FAA	0	0	0	0	0	0	0.00536	0	0
Lachnospiraceae bacterium 2_1_58FAA	0	0	0.33794	0	0	0	0	0	0.45354
Lachnospiraceae bacterium 3_1_46FAA	0	0	0.09636	0.02662	0	0.01567	0.05337	0.00697	0
Lachnospiraceae bacterium 3_1_57FAA_CT1	0	0	0	0.38333	0	0	0	0	0.36097
Lachnospiraceae bacterium 5_1_57FAA	0	0	0	0	0	0	0	0	0.11112
Lachnospiraceae bacterium 5_1_63FAA	0	0	0.02635	0	0	0.05742	0.1581	0.01661	0
Lachnospiraceae bacterium 7_1_58FAA	0	0	0	0.06131	0	0.06718	0.00365	0.01181	0.05472
Lachnospiraceae bacterium 8_1_57FAA	0	0	0	0	0	0	0	0	0.05857
Lachnospiraceae bacterium 9_1_43BFAA	0	0	0	0	0	0	0.00331	0	0.1177
Lactobacillus acidophilus	0	0.000467231	0	0	0	0	0	0	0.556
Lactobacillus amylovorus	0.00132078	0.00140169	0	0	0	0	0	0	0.03704
Lactobacillus brevis	0	0.000467231	0	0	0	0	0	0	0
Lactobacillus cacaonum	0.00264155	0	0	0	0	0	0	0	0
Lactobacillus casei	0	0.000467231	0	0	0	0	0	0	0
Lactobacillus crispatus	0	0.00233615	0	0	0	0	0	0	0
Lactobacillus curvatus	0.0105662	0	0	0	0	0	0	0	0
Lactobacillus delbrueckii	0	0.520028	0	0	0	0	0	0	0
Lactobacillus dextrinicus	0	0.000467231	0	0	0	0	0	0	0
Lactobacillus gallinarum	0.00132078	0	0	0	0	0	0	0	0
Lactobacillus gasseri	0.0858505	0.000467231	0	0	0	0	0	0	0
Lactobacillus hominis	0.00660389	0	0	0	0	0	0	0	0
Lactobacillus intestinalis	0	0.00186892	0	0	0	0	0	0	0
Lactobacillus jensenii	0	0.000467231	0	0	0	0	0	0	0
Lactobacillus johnsonii	0.00660389	0	0	0	0	0	0	0	0.03077
Lactobacillus kitasatonis	0	0.000467231	0	0	0	0	0	0	0
Lactobacillus mali	0.00132078	0	0	0	0	0	0	0	0
Lactobacillus nasuensis	0	0.000467231	0	0	0	0	0	0	0
Lactobacillus oris	0.00132078	0	0	0	0	0	0	0	0
Lactobacillus pobuzihii	0.00924544	0	0	0	0	0	0	0	0.27926
Lactobacillus reuteri	0.00132078	0	0	0	0	0	0	0	0
Lactobacillus rossiae	0.00132078	0	0	0	0	0	0	0	0
Lactobacillus ruminis	0.0686804	0.000467231	0	0	0	0	0	0	0
Lactobacillus sakei	0	0	0	0	0	0.00352	0	0	0
Lactobacillus salivarius	0.00264155	0	0	0	0	0	0	0	0
Lactobacillus selangorensis	0	0.000467231	0	0	0	0	0	0	0
