scientific_name	ERR1073394	ERR1090415	ERR2056873	ERR2092345	ERR2239313	ERR2239357	ERR2239366	ERR2239391	ERR2239394	ERR2242500
[Clostridium] xylanolyticum	0.0280713	0.023677	0.0192505	0.100216	0	0	0	0	0	0
[Desulfotomaculum] guttoideum	0.00510386	0	0	0	0	0	0	0	0	0
[Eubacterium] brachy	0.00510386	0	0	0.00313175	0	0	0	0	0	0
[Eubacterium] contortum	0.00510386	0.00394617	0	0.00313175	0	0	0	0	0	0
[Eubacterium] eligens	0.339407	2.76232	0.635267	0.707776	1.46971	0	0.08236	0.53363	0.18886	3.32951
[Eubacterium] fissicatena	0	0.00394617	0.00320842	0	0	0	0	0	0	0
[Eubacterium] hallii	0.0127597	0	0	0.00939526	0.32736	0	0.20205	0.14209	0	0.25443
[Eubacterium] rectale	0	0	0	0	1.22963	5.30789	1.63543	2.35354	1.71665	15.1485
[Eubacterium] siraeum	0.0280713	0	0	0.162851	0.0435	0	6.39034	0	0	0
[Eubacterium] sulci	0.0944215	0	0	0.0156588	0	0	0	0	0	0
[Ruminococcus] gnavus	0	0.122331	0.205339	0.00313175	0	0	0	0	0	0.03469
[Ruminococcus] torques	0.0204155	0.00394617	0.0288758	0.00939526	0	1.70261	0	0	0	0.11725
Acidaminococcus intestini	1.1203	0.406456	0	0.826783	0	0	0	0	0	0
Acinetobacter johnsonii	0	0	0.0224589	0	0	0	0	0	0	0
Acinetobacter tjernbergiae	0	0	0.00320842	0	0	0	0	0	0	0
Actinomyces israelii	0	0	0	0.00313175	0	0	0	0	0	0
Actinomyces lingnae	0.00255193	0.00394617	0	0	0	0	0	0	0	0
Actinomyces meyeri	0	0	0	0.00313175	0	0	0	0	0	0
Actinomyces odontolyticus	0	0	0.00320842	0.00313175	0	0	0	0	0	0
Actinomyces sp.	0	0	0	0.00313175	0	0	0	0	0	0
Aerosphaera taetra	0	0.00394617	0	0	0	0	0	0	0	0
Akkermansia muciniphila	0.00510386	0	0.00641684	0.00626351	4.42149	0	1.02381	0.74247	0	0
Alistipes finegoldii	1.77104	0	0	0.012527	0	0.27254	0.51043	0	0	0
Alistipes indistinctus	0.0255193	0	0	0.0563716	0	1.04004	0.79187	0	0	0
Alistipes obesi	0	0	0	0	1.33866	0	0.64962	0.00657	0	0.33512
Alistipes onderdonkii	0.0867657	0.00394617	0	0.206696	0.76371	0.30584	0	0.08217	0	0
Alistipes putredinis	3.96315	0.00394617	0.0192505	1.89471	9.39482	0	2.41846	0	0	1.75543
Alistipes shahii	0.234778	0.0591926	0.12192	0.109611	1.77441	0	0.04024	0	0	0
Alistipes timonensis	0.035727	0.00394617	0.00320842	0.012527	0	0	0.79466	0	0	0
Alkalimonas delamerensis	0	0.00394617	0	0	0	0	0	0	0	0
Alteromonas macleodii	0.00255193	0	0	0	0	0	0	0	0	0
Anaerobiospirillum thomasii	0	0	0	0.109611	0	0	0	0	0	0
Anaerococcus hydrogenalis	0	0	0	0.025054	0	0	0	0	0	0
Anaerococcus lactolyticus	0.00510386	0	0	0.0595033	0	0	0	0	0	0
Anaerococcus prevotii	0	0	0	0.0939526	0	0	0	0	0	0
Anaerococcus tetradius	0	0	0	0.00626351	0	0	0	0	0	0
Anaerocolumna aminovalerica	0	0.00394617	0.00641684	0.00313175	0	0	0	0	0	0
Anaerofilum pentosovorans	0.0076558	0	0.00320842	0.0156588	0	0	0	0	0	0
Anaeroplasma bactoclasticum	0	0.00789235	0	0	0	0	0	0	0	0
Anaerolinea thermophila	0.00255193	0	0.0224589	0	0	0	0	0	0	0
Anaerostipes butyraticus	0.0280713	0.0394617	0.0449179	0.0438445	0	0	0	0	0	0
Anaerostipes hadrus	0	0	0	0	0	0	0	0	0	0.27115
Anaerostipes caccae	0.0153116	0.0118385	0.0545431	0.0344493	0	0	0	0	0	0
Anaerotruncus colihominis	0.0535906	0.0473541	0.00641684	0.203564	0	0	0	0	0	0
Arthrobacter citreus	0	0.0947082	0	0	0	0	0	0	0	0
Atopobium parvulum	0	0.00394617	0	0	0	0	0	0	0	0
Bacillus butanolivorans	0	0.0276232	0	0	0	0	0	0	0	0
Bacillus circulans	0	0.00394617	0	0	0	0	0	0	0	0
Bacillus flexus	0	0	0.00320842	0	0	0	0	0	0	0
Bacillus gaemokensis	0.0102077	0.0276232	0	0	0	0	0	0	0	0
Bacillus halmapalus	0	0.00394617	0	0	0	0	0	0	0	0
Bacillus luteolus	0	0.0118385	0	0	0	0	0	0	0	0
Bacillus megaterium	0	0	0.00320842	0.00313175	0	0	0	0	0	0
Bacillus nealsonii	0.0204155	0.0118385	0	0	0	0	0	0	0	0
Bacillus soli	0	0.00394617	0	0	0	0	0	0	0	0
Bacillus sp.	0	0.00394617	0	0	0	0	0	0	0	0
Bacillus sp. NBRC 3527	0	0.0118385	0	0	0	0	0	0	0	0
Bacillus thuringiensis	0	0	0	0.00313175	0	0	0	0	0	0
Bacteroides barnesiae	0	0.102601	0.0128337	0.782938	0	0	0	0	0	0
Bacteroides caccae	2.28143	0.343317	1.59458	0.0313175	1.06197	10.4796	0.02838	0.16394	0.96723	3.02084
Bacteroides cellulosilyticus	0.867657	0.00394617	0.0449179	0.050108	3.67536	0	10.2348	0	0	0.14171
Bacteroides clarus	0	0	0	0	0	0.23532	0	0	0	0
Bacteroides coprocola	0.00510386	0.090762	0.0160421	2.53985	0	0	0	0	0	0
Bacteroides coprophilus	0	0.00789235	0	0.926999	0	0	0	0	0	0
Bacteroides coprosuis	0.0102077	0.00394617	0.0770021	0.00313175	0	0	0	0	0	0
Bacteroides dorei	0.176083	0.0157847	0.099461	0.0156588	2.38821	26.3562	0.39956	0	1.05876	1.46959
Bacteroides eggerthii	0.00255193	0.0118385	0.0160421	0.626351	0	0.22288	0.88188	1.37223	0	0.82117
Bacteroides faecichinchillae	0.0612464	0	0.00962526	3.708	0	0	0	0	0	0
Bacteroides faecis	0	0	0	0	0	0.07991	0	0	0	0
Bacteroides finegoldii	0.00255193	0.023677	0	0.00313175	3.51541	4.23346	0	0.22103	0	0
Bacteroides fluxus	0.252641	0.0394617	0.269507	0.0219223	0.45826	0	0	0	0	0
Bacteroides fragilis	0.324095	0.00394617	0.340092	0.00939526	0	0.55887	0	0	0	0
Bacteroides gallinarum	0.0127597	0	0.00962526	0.281858	0	0	0	0	0	0
Bacteroides graminisolvens	0	0	0	0.0187905	0	0	0	0	0	0
Bacteroides helcogenes	0	0	0.0192505	0.0532398	0	0	0	0	0	0
Bacteroides intestinalis	0.0791099	0.0118385	0.0192505	0.00626351	0	0	0	0	0	0
Bacteroides massiliensis	0.038279	0.939189	0.154004	0.861232	6.34612	0	6.4133	0.2314	0.24262	0
Bacteroides nordii	0.0127597	0	0.0128337	0.0219223	0	0	0	0	0	0
Bacteroides oleiciplenus	0.0995253	0	0	0.00313175	0	0	0	0	0	0
Bacteroides ovatus	10.9886	0.966813	4.43724	1.22452	1.57268	4.4655	0	0.21608	0.02162	0
Bacteroides paurosaccharolyticus	0.00255193	0	0.00962526	0.00313175	0	0	0	0	0	0
Bacteroides plebeius	0.00255193	6.61773	0.00320842	11.5217	0	0	5.57515	0	0	0
Bacteroides propionicifaciens	0.0076558	0.00394617	0.0288758	0.00626351	0	0	0	0	0	0
Bacteroides pyogenes	0	0.00789235	0	0.0344493	0	0	0	0	0	0
Bacteroides reticulotermitis	0	0.00394617	0.00320842	0.0219223	0	0	0	0	0	0
Bacteroides rodentium	0	0.0118385	0.00320842	0.00939526	0	0	0	0	0	0
Bacteroides salanitronis	0	0.00394617	0	0.00313175	0	0	0	0	0	0
Bacteroides salyersiae	0	0	0.00320842	0.225486	0	1.23071	1.24402	0	0	0
Bacteroides sartorii	0	0	0.00962526	0.012527	0	0	0	0	0	0
Bacteroides sp. MC_16	0.112285	0	0.0320842	0.0156588	0	0	0	0	0	0
Bacteroides stercorirosoris	0.0127597	0	0	0	0	0	0	0	0	0
Bacteroides stercoris	0.0204155	1.32197	10.9215	0.48229	8.4913	0	0	0	0.17759	0
Bacteroides thetaiotaomicron	7.39805	0.209147	3.69289	0.91134	0.9096	0.34219	0.07512	0.09286	0.32947	0.21274
Bacteroides uniformis	24.6925	0.366994	2.90683	3.65162	8.06789	0.56995	3.30855	0.41824	0.6309	5.73316
Bacteroides vulgatus	22.115	5.37864	37.346	3.42301	6.23291	0	1.3756	0.79131	0.17467	0.41021
Bacteroides xylanisolvens	0.155668	0.181524	0.0930441	0.0908208	0.68853	0.163	0	0	0	0.00559
Bacteroides zoogleoformans	0	0	0.00962526	0.0156588	0	0	0	0	0	0
Barnesiella intestinihominis	0	0	0	0	5.32066	0	0.27669	0.12284	0	0
Barnesiella viscericola	0	0.00394617	0	0.529266	0	0	0	0	0	0
Beijerinckia derxii	0	0.0118385	0	0	0	0	0	0	0	0
Bifidobacterium adolescentis	0.0076558	0.0552464	0.0545431	0.0845573	1.17676	0.21729	0	1.34272	0	0
Bifidobacterium animalis	0.0076558	0.00394617	0	0.00313175	0	0	0	0	0	0
Bifidobacterium bifidum	0	0.00394617	0.0256674	0.0313175	0	0	0	0.02678	0	0.81844
Bifidobacterium boum	0	0.00789235	0.00641684	0	0	0	0	0	0	0
Bifidobacterium breve	0.0178635	0.0315694	0.0866273	0.0876891	0	0	0	0	0	0
Bifidobacterium catenulatum	0.0076558	0.0355156	0	0	0	0	0	0	0	0
Bifidobacterium choerinum	0	0	0.00320842	0.00939526	0	0	0	0	0	0
Bifidobacterium gallicum	0.0433828	0.299909	0.00641684	0.0469763	0	0	0	0	0	0
Bifidobacterium longum	0.0484867	0.153901	0.115503	0.153456	0.36631	0	0	0.20945	0	0.37179
Bifidobacterium magnum	0	0.00394617	0	0	0	0	0	0	0	0
Bifidobacterium pseudocatenulatum	0.229674	0.966813	0	0.0219223	0	0	0	0	0	2.89039
Bifidobacterium pullorum	0.00510386	0.00394617	0	0	0	0	0	0	0	0
Bifidobacterium saeculare	0	0.0118385	0	0	0	0	0	0	0	0
Bifidobacterium reuteri	0	0	0	0.00313175	0	0	0	0	0	0
Bifidobacterium saguini	0	0.00394617	0.00641684	0.00939526	0	0	0	0	0	0
Bifidobacterium scardovii	0.0076558	0.0118385	0	0	0	0	0	0	0	0
Bifidobacterium stellenboschense	0	0	0.00320842	0	0	0	0	0	0	0
Bifidobacterium tsurumiense	0	0.0315694	0	0.00939526	0	0	0	0	0	0
Bilophila wadsworthia	0.234778	0.00394617	0	0.00313175	0	0	0	0	0	0
Blautia coccoides	0.0127597	0.00394617	0.0192505	0	0	0	0	0	0	0
Blautia glucerasea	0.222018	0.556411	1.14541	1.00529	0	0	0	0	0	0
Blautia hydrogenotrophica	0	0	0	0.00313175	0	0	0	0	0	0
Blautia obeum	0.0944215	1.09309	0.208547	0.958316	0.02379	0	0	0.06822	0.018	0.62021
Blautia producta	0	0.00394617	0.118712	0.0720303	0	0	0	0	0	0
Brevibacillus choshinensis	0	0	0	0.00313175	0	0	0	0	0	0
Brevibacterium mcbrellneri	0	0	0	0.00313175	0	0	0	0	0	0
Brevinema andersonii	0.00255193	0	0	0	0	0	0	0	0	0
Brevundimonas diminuta	0	0	0.00641684	0	0	0	0	0	0	0
Butyrivibrio crossotus	0	0.0118385	0	0.00626351	0.11816	0	0	0	0	0
Butyrivibrio hungatei	0	0	0.00320842	0	0	0	0	0	0	0
Caldilinea aerophila	0	0.00789235	0.00320842	0.00626351	0	0	0	0	0	0
Campylobacter hominis	0.0178635	0	0	0.012527	0	0	0	0	0	0
Candidatus Koribacter versatilis	0	0.00394617	0	0	0	0	0	0	0	0
Catenibacterium mitsuokai	0	0	0	0	0	0	0	0	0.21401	0
Cellulosilyticum lentocellum	0	0.00394617	0.0224589	0	0	0	0	0	0	0
Christensenella minuta	0.00510386	0	0	0.00939526	0	0	0	0	0	0
Citrobacter freundii	0	0	0	0	0	0	0.25357	0	0	0
Clostridium aminobutyricum	0	0	0	0.00626351	0	0	0	0	0	0
Clostridium baratii	0	0.00394617	0	0	0	0	0	0	0	0
Clostridium beijerinckii	0	0.00394617	0	0.0626351	0	0	0	0	0	0
Clostridium botulinum	0	0	0	0.00626351	0	0	0	0	0	0
Clostridium celatum	0	0.0118385	0	0	0	0	0	0	0	0
Clostridium chartatabidum	0	0	0	0.00939526	0	0	0	0	0	0
Clostridium chauvoei	0	0	0	0.025054	0	0	0	0	0	0
Clostridium malenominatum	0	0	0	0.00313175	0	0	0	0	0	0
Clostridium maximum	0.0076558	0	0.00320842	0	0	0	0	0	0	0
Clostridium paraputrificum	0	0	0	0.00313175	0	0	0	0	0	0
Clostridium pasteurianum	0	0	0	0.00313175	0	0	0	0	0	0
Clostridium polyendosporum	0	0	0	0.00313175	0	0	0	0	0	0
Clostridium puniceum	0	0.00789235	0	0	0	0	0	0	0	0
Clostridium quinii	0	0	0	0.012527	0	0	0	0	0	0
Clostridium saccharoperbutylacetonicum	0.00255193	0.0710311	0	0.00626351	0	0	0	0	0	0
Clostridium sartagoforme	0	0.00789235	0	0.0344493	0	0	0	0	0	0
Clostridium septicum	0	0	0	0.00626351	0	0	0	0	0	0
Clostridium sp.	0.00510386	0	0	0	0	0	0	0	0	0
Clostridium sp. ATCC BAA-442	0	0	0.00320842	0.00939526	0	0	0	0	0	0
Clostridium sp. SY8519	0	0	0	0.00313175	0	0	0	0	0	0
Clostridium tertium	0	0.110493	0	0.109611	0	0	0	0	0	0
Clostridium ventriculi	0.00255193	0	0	0.00313175	0	0	0	0	0	0
Collinsella aerofaciens	0	0	0	0.0219223	0.17634	0.11583	0	0.04533	0	6.25576
Collinsella intestinalis	0	0	0	0.00313175	0	0	0	0	0	0
Collinsella tanakaei	0	0	0	0.0281858	0	0	0	0	0	0
Coprococcus catus	0	0	0	0	0	0	0	0	0	0.02312
Coprococcus comes	0.0893176	0.0789235	0.00320842	0.400864	0.25787	0	0	0	0	4.34542
Coprococcus eutactus	0.00255193	0.00394617	0.0128337	0.00626351	0	0	0	0	0	0
Coprococcus sp. ART55/1	0	0	0	0	4.7374	0	0	0	0	0
Corynebacterium appendicis	0	0	0	0.00313175	0	0	0	0	0	0
Corynebacterium diphtheriae	0	0	0	0.012527	0	0	0	0	0	0
Corynebacterium genitalium	0	0	0	0.10648	0	0	0	0	0	0
Corynebacterium glaucum	0	0	0	0.00313175	0	0	0	0	0	0
Corynebacterium humireducens	0	0	0	0.103348	0	0	0	0	0	0
Corynebacterium imitans	0	0	0	0.00939526	0	0	0	0	0	0
Corynebacterium minutissimum	0	0	0	0.00313175	0	0	0	0	0	0
Corynebacterium pseudogenitalium	0	0	0	0.00313175	0	0	0	0	0	0
Corynebacterium sp. YIM 101343	0	0	0	0.00313175	0	0	0	0	0	0
Corynebacterium sp. YIM 101587	0	0	0	0.012527	0	0	0	0	0	0
Corynebacterium sphenisci	0	0	0	0.012527	0	0	0	0	0	0
Corynebacterium spheniscorum	0	0	0	0.00626351	0	0	0	0	0	0
Corynebacterium striatum	0	0.00789235	0	0.0156588	0	0	0	0	0	0
Corynebacterium testudinoris	0	0	0	0.025054	0	0	0	0	0	0
Corynebacterium tuberculostearicum	0	0	0	0.0156588	0	0	0	0	0	0
Corynebacterium variabile	0	0	0	0.00313175	0	0	0	0	0	0
Corynebacterium xerosis	0	0	0	0.0313175	0	0	0	0	0	0
Dehalococcoides mccartyi	0	0.00789235	0.0160421	0.0156588	0	0	0	0	0	0
Dehalogenimonas lykanthroporepellens	0	0	0	0.00313175	0	0	0	0	0	0
Dendrosporobacter quercicolus	0.00510386	0.0118385	0	0	0	0	0	0	0	0
Desulfosarcina cetonica	0.00255193	0	0	0.00313175	0	0	0	0	0	0
Desulfatiglans anilini	0	0.00394617	0	0	0	0	0	0	0	0
Desulfomicrobium norvegicum	0	0.00789235	0	0	0	0	0	0	0	0
Desulfovibrio fructosivorans	0	0.0118385	0	0	0	0	0	0	0	0
Desulfovibrio vulgaris	0	0	0	0.0407128	0	14.3662	0	0	0	0
Dialister invisus	0.107181	0.00789235	0.753978	0.0845573	0	0	0	0.65307	0.15711	27.1027
Dialister micraerophilus	0	0	0	0.00313175	0	0	0	0	0	0
Dorea formicigenerans	0	0.0355156	0.266299	0	0	0	0	0	0	0.30548
Dorea longicatena	0	0.00394617	0	0	0	0.08255	0.49168	0	0	0.73222
Draconibacterium orientale	0.00255193	0	0	0.00313175	0	0	0	0	0	0
Ectothiorhodospira shaposhnikovii	0	0.00394617	0	0	0	0	0	0	0	0
Eggerthella lenta	0	0.0157847	0.0192505	0	0	0	0	0	0	0
Eggerthella sp. YY7918	0	0	0.00320842	0.0469763	0	0	0	0	0	0
Emticicia oligotrophica	0.00255193	0	0	0	0	0	0	0	0	0
Enterobacter asburiae	0	0	0	0	0	0	0.04234	0	0	0
Enterococcus casseliflavus	0	0.0157847	0	0	0	0	0	0	0	0
Enterococcus faecalis	0	0	0	0	0	0	0	0.22864	0	0
Enterococcus faecium	0	0.0434079	0	0	0	0	0	0	0	0.24696
Enterococcus gilvus	0	0.00394617	0	0	0	0	0	0	0	0
Erysipelothrix rhusiopathiae	0	0.00394617	0	0	0	0	0	0	0	0
Escherichia coli	0	0.023677	0.00320842	0	0	0	42.397	69.6896	55.2547	0
Eubacterium desmolans	0.0459348	0.520895	0.198922	0.165983	0	0	0	0	0	0
Eubacterium oxidoreducens	0	0	0	0.00313175	0	0	0	0	0	0
Eubacterium plexicaudatum	0	0.0118385	0.0128337	0.00626351	0	0	0	0	0	0
Eubacterium ramulus	0	0	0.0737936	0.219223	0	0	0	0	0	0.09327
Eubacterium ruminantium	0	0	0	0.00313175	0	0	0	0	0	0
Eubacterium ventriosum	0.0612464	0.023677	0.616016	0.159719	0	0.93682	0.45535	0.25073	0	0
Eubacterium xylanophilum	0.035727	0	0	0.341361	0	0	0	0	0	0
Facklamia hominis	0	0.00789235	0	0	0	0	0	0	0	0
Faecalibacterium prausnitzii	0	0	0	0	4.00285	1.08391	0.60637	0.55249	0.96395	5.87651
Faecalibacterium sp. MC_41	9.07212	33.1479	10.729	7.48176	0	0	0	0	0	0
Finegoldia magna	0	0.0197309	0	0.328834	0	0	0	0	0	0
Fusobacterium equinum	0	0.00789235	0	0	0	0	0	0	0	0
Glutamicibacter protophormiae	0	0	0.00320842	0	0	0	0	0	0	0
Granulicatella elegans	0	0	0	0.00626351	0	0	0	0	0	0
Geobacter sp. DSM 9736	0.00255193	0	0	0	0	0	0	0	0	0
Haemophilus haemolyticus	0	0.00789235	0	0	0	0	0	0	0	0
Haemophilus parainfluenzae	0	0.146008	0.00320842	0.253672	0	0	0	0.28488	0	0
Haemophilus sputorum	0	0	0	0.00313175	0	0	0	0	0	0
Halothermothrix orenii	0	0	0.00320842	0	0	0	0	0	0	0
Holdemanella biformis	0	0	0	0	0	0.16909	0	0	0	1.52743
Holdemania filiformis	0.119941	0.0118385	0	0.0313175	0	0	0	0	0	0
Iamia majanohamensis	0	0.00394617	0	0	0	0	0	0	0	0
Ignavibacterium album	0.00255193	0	0.00641684	0.00626351	0	0	0	0	0	0
Ilumatobacter coccineus	0	0.00394617	0	0	0	0	0	0	0	0
Intestinibacter bartlettii	0.0510386	0.923405	0.00320842	0.012527	0	0	0	0	0	0
Kandleria vitulina	0	0	0	0.591901	0	0	0	0	0	0
Klebsiella oxytoca	0	0	0	0	0	0	0	0	2.16399	0
Klebsiella pneumoniae	0	0.0157847	0	0	0	0	0	0	0	0
Lachnoanaerobaculum saburreum	0	0	0	0.00313175	0	0	0	0	0	0
Lachnospiraceae bacterium 1_1_57FAA	0	0	0	0	0.06236	0.54351	0	0	0	0
Lachnospiraceae bacterium 2_1_58FAA	0	0	0	0	0	0	0	0	0	0.03482
Lachnospiraceae bacterium 3_1_46FAA	0	0	0	0	0	0	0	0	0	0.05192
Lachnospiraceae bacterium 3_1_46FAA	0	0	0	0	0.42935	0	0	0	0	0.15369
Lachnospiraceae bacterium 3_1_57FAA_CT1	0	0	0	0	0	0	0	0	0	0.019
Lachnospiraceae bacterium 5_1_63FAA	0	0	0	0	0	0	0	0	0	0.45326
Lachnospiraceae bacterium 7_1_58FAA	0	0	0	0	0	0	0	0	0	0.01845
Lachnospiraceae bacterium 8_1_57FAA	0	0	0	0	0	0	0	0	0	0.06899
Lactobacillus casei	0	0	0.0545431	0	0	0	0	0	0	0
Lactobacillus kefiranofaciens	0	0.00789235	0	0	0	0	0	0	0	0
Lactobacillus nasuensis	0	0.00394617	0	0	0	0	0	0	0	0
Lactobacillus pantheris	0	0	0.00320842	0	0	0	0	0	0	0
Lactobacillus paracasei	0	0	0.0224589	0	0	0	0	0	0	0
Lactobacillus plantarum	0	0.00394617	0.00320842	0	0	0	0	0	0	0
Lactobacillus reuteri	0	0.00394617	0	0	0	0	0	0	0	0
Lactobacillus sakei	0	0.00394617	0	0	0	0	0	0	0	0
Lactobacillus sp. JCM 8672	0.00255193	0	0	0	0	0	0	0	0	0
Lactobacillus sp. NBRC 107185	0.00510386	0.00789235	0	0	0	0	0	0	0	0
Lactobacillus sp. NBRC 107298	0	0.00394617	0	0	0	0	0	0	0	0
Lactococcus lactis	0	0	0.0128337	0	0	0	0	0	0	0
Leptonema illini	0	0	0.00320842	0	0	0	0	0	0	0
Legionella brunensis	0.00255193	0	0	0	0	0	0	0	0	0
Lonsdalea quercina	0	0.00394617	0	0	0	0	0	0	0	0
Marinobacter lacisalsi	0	0.00394617	0	0	0	0	0	0	0	0
Mageeibacillus indolicus	0	0	0.00320842	0	0	0	0	0	0	0
Megasphaera elsdenii	0	0	0	0.037581	0	0	0	0	0	0
Melioribacter roseus	0	0	0	0.00626351	0	0	0	0	0	0
Methanobrevibacter smithii	0	0	0	0.00313175	0	0	0	0	0	0
Methylobacillus flagellatus	0	0	0	0.00313175	0	0	0	0	0	0
Microbacter margulisiae	0.00255193	0	0	0	0	0	0	0	0	0
Microscilla marina	0	0	0	0.00313175	0	0	0	0	0	0
Mitsuokella multacida	0	0	0	0.200432	0	0	0	0	0	0
Mobiluncus mulieris	0	0	0	0.00313175	0	0	0	0	0	0
Mogibacterium timidum	0	0	0	0.00626351	0	0	0	0	0	0
Morganella morganii	0	0.00394617	0	0	0	0	0	0	0	0
Neisseria mucosa	0	0.00394617	0	0	0	0	0	0	0	0
Neisseria weaveri	0	0.00789235	0	0	0	0	0	0	0	0
Nubsella zeaxanthinifaciens	0	0.00394617	0	0.00313175	0	0	0	0	0	0
Odoribacter splanchnicus	0.604808	0	0.00320842	0.350756	0	0	0	0	0	0
Olsenella uli	0	0	0	0.037581	0	0	0	0	0	0
Oscillibacter valericigenes	1.253	0.146008	0.224589	0	0	0	0	0	0	0
Owenweeksia hongkongensis	0	0	0.00320842	0	0	0	0	0	0	0
Oxalobacter formigenes	0.0510386	0	0	0	0	0	0	0	0	0
Paenibacillus sp. BIHB4019	0	0.00394617	0	0	0	0	0	0	0	0
Paludibacter propionicigenes	0.00510386	0.00394617	0	0.00313175	0	0	0	0	0	0
Parabacteroides chinchillae	0.00255193	0	0	0	0	0	0	0	0	0
Papillibacter cinnamivorans	0	0	0	0.00313175	0	0	0	0	0	0
Parabacteroides distasonis	1.39335	0.280178	0.0160421	0.967712	1.5498	0.0465	1.42376	0	0.08499	0.59393
Parabacteroides goldsteinii	0	0	0	0.00626351	0	0	0	0	0	0
Parabacteroides gordonii	0	0	0.00641684	0	0	0	0	0	0	0
Parabacteroides johnsonii	0.405757	0	0	0.00313175	0.35855	1.09978	0	0	0	0
Parabacteroides merdae	0.0178635	0.161793	0	1.87279	2.14802	0	0.68661	0.03962	1.17298	0.70149
Paraprevotella clara	0	0.659011	0	3.51069	0.80844	0.35396	0.40028	0	0	0
Paraprevotella xylaniphila	0	0.00394617	0	0.0187905	0.09452	0	0	0	0.01789	0
Prevotella copri	0	0	0	0	0	17.5602	0	0	0.53891	0
Parasutterella excrementihominis	1.37294	0.00394617	0	0.0688986	0	0	0	2.15091	6.96261	0
Parvimonas micra	0	0.00789235	0	0	0	0	0	0	0	0
Pedobacter luteus	0.00255193	0	0	0.00313175	0	0	0	0	0	0
Pedobacter koreensis	0	0.0276232	0	0	0	0	0	0	0	0
Pelobacter acetylenicus	0	0	0	0.00313175	0	0	0	0	0	0
Peptoniphilus lacrimalis	0.00255193	0	0	0	0	0	0	0	0	0
Peptococcus niger	0	0.00789235	0	0.0688986	0	0	0	0	0	0
Peptoniphilus asaccharolyticus	0	0	0	0.00313175	0	0	0	0	0	0
Peptoniphilus ivorii	0	0	0	0.0187905	0	0	0	0	0	0
Peptoniphilus lacrimalis	0	0	0	0.00939526	0	0	0	0	0	0
Peptoniphilus sp. JCM 8141	0	0	0	0.0908208	0	0	0	0	0	0
Peptoniphilus sp. JCM 8143	0	0	0	0.00939526	0	0	0	0	0	0
Peptostreptococcus stomatis	0	0	0	0	0	0	0	0	0	0
Porphyromonas asaccharolytica	0.00510386	0	0	0.0219223	0	0	0	0	0	0
Porphyromonas cangingivalis	0.00510386	0	0.00320842	0.012527	0	0	0	0	0	0
Porphyromonas circumdentaria	0.0076558	0	0	0.0187905	0	0	0	0	0	0
Porphyromonas uenonis	0	0.00394617	0	0.025054	0	0	0	0	0	0
Prevotella albensis	0	0	0	0.0281858	0	0	0	0	0	0
Prevotella baroniae	0	0	0	1.14309	0	0	0	0	0	0
Prevotella bivia	0	0.00789235	0	0	0	0	0	0	0	0
Prevotella bryantii	0	0	0	0.0595033	0	0	0	0	0	0
Prevotella buccae	0.0178635	0	0	0.0281858	0	0	0	0	0	0
Prevotella buccalis	0.074006	0	0	0.281858	0	0	0	0	0	0
Prevotella copri	0.0102077	0	0.0192505	0.0908208	0	0	0	0	0	1.95224
Prevotella corporis	0	0	0	0.025054	0	0	0	0	0	0
