Especie	Abundancia media
Corynebacterium afermentans	0.02007365
Dialister propionicifaciens	0.020050099
Clostridiales bacterium 1_7_47FAA	0.02004
Chryseobacterium solincola	0.02003967
Lactobacillus paracollinoides	0.019938599
Cutibacterium granulosum	0.0196814
Fusobacterium nucleatum	0.0193376
Kribbella sp. NBRC 104208	0.0193143
Psychrobacter sp. NBRC 101052	0.01931092
Hespellia stercorisuis	0.019003101
Clostridium perfringens	0.018820001
Paenibacillus terrae	0.0186103
Corynebacterium tuberculostearicum	0.0185891
Stenotrophomonas chelatiphaga	0.018549301
Clostridium tertium	0.01848595
Bifidobacterium biavatii	0.0183663
Schaalia turicensis	0.017929999
Desulfovibrio desulfuricans	0.017835399
Microvirga aerophila	0.01773315
Melissococcus plutonius	0.017663101
Delftia sp. IHB B 4037	0.01765965
Ruminococcus champanellensis	0.0176453
Mitsuokella multacida	0.01764
Blautia coccoides	0.01747515
Campylobacter rectus	0.01746
Bifidobacterium saguini	0.01740915
[Oscillatoria] sp. PCC 6506	0.01737605
Leucobacter chironomi	0.01733039
[Clostridium] aldenense	0.01730235
Absiella dolichum	0.0171756
Streptococcus infantis	0.01717
Bacteroides acidifaciens	0.017025749
Eubacterium xylanophilum	0.0168615
Chryseobacterium chaponense	0.0168129
Janthinobacterium lividum	0.016812401
Lactobacillus spicheri	0.016643207
Erysipelatoclostridium ramosum	0.016559999
Brachybacterium sp. HBUM179121	0.016551705
Comamonas kerstersii	0.01654255
Pseudomonas aeruginosa	0.016539499
Hafnia alvei	0.01653
Chryseobacterium carnipullorum	0.01633156
Psychrobacter cryohalolentis	0.01613029
Mesorhizobium loti	0.01612015
Micrococcus terreus	0.0160094
Bifidobacterium dentium	0.015983099
Arenibacter latericius	0.01585593
Erysipelotrichaceae bacterium 3_1_53	0.015785
Fusobacterium ulcerans	0.0155648
Algoriphagus marincola	0.015418
Flavobacterium xinjiangense	0.015410705
Ilyobacter polytropus	0.015408365
Flavobacterium sp. DSM 425	0.015353795
Collinsella tanakaei	0.015289
[Eubacterium] sulci	0.0152272
Halomonas halodenitrificans	0.0151837
Sphingomonas koreensis	0.0151692
[Clostridium] viride	0.015095
Lactobacillus sp. KLDS 1.0716	0.0150457
Ureibacillus composti	0.015022425
Lactobacillus salivarius	0.01500485
Peptoniphilus lacrimalis	0.0149172
Aerococcus urinaeequi	0.01488428
Anaerofilum pentosovorans	0.0148274
Sphingomonas taxi	0.0147324
Lactobacillus sp. JCM 8672	0.01470705
Paenibacillus sp. VKM B-2647	0.0147052
Variovorax sp. JCM 10066	0.0146313
Lactobacillus gasseri	0.0146177
Pedobacter alluvionis	0.0143503
Proteus penneri	0.014334
Comamonas sp. MBIC3885	0.01432332
Telluria mixta	0.0141902
Dyadobacter fermentans	0.0140995
Enterococcus faecium	0.01390275
Pseudomonas sp. NBRC 111117	0.0138522
Cellvibrio vulgaris	0.013818
Gemella morbillorum	0.013805
Hungateiclostridium clariflavum	0.01370315
Paenibacillus sp. JCM 10914	0.01367091
Methylobacterium isbiliense	0.0136509
Blautia glucerasea	0.0136221
Neisseria bacilliformis	0.0136221
Pseudomonas xanthomarina	0.0136221
Acidovorax oryzae	0.0136221
[Clostridium] citroniae	0.0135949
Naxibacter sp. BUZ1	0.01355505
Eggerthella lenta	0.0135312
Blautia hansenii	0.0135153
[Clostridium] saccharogumia	0.01342935
Sphingomonas echinoides	0.0134129
Acidocella aluminiidurans	0.0134129
Alicyclobacillus acidoterrestris	0.01332465
Porphyromonas bennonis	0.01317
Nostoc sp. PCC 7120	0.0131698
Lactobacillus manihotivorans	0.0131265
Lactobacillus algidus	0.01306108
Leucobacter chromiiresistens	0.01298181
Chitinophaga jiangningensis	0.01295895
Macrococcus caseolyticus	0.0128416
Eubacterium limosum	0.01281795
Hungatella hathewayi	0.0127804
Chryseobacterium tenax	0.012763504
Lysinibacillus boronitolerans	0.01274
Bifidobacterium animalis	0.01249195
Thermonema lapsum	0.012458669
Ruminococcus albus	0.0123889
Prevotella saccharolytica	0.0123587
Paraprevotella xylaniphila	0.012325
Agromyces mediolanus	0.0122708
Chryseobacterium formosense	0.01214175
Anaplasma phagocytophilum	0.0120669
Laribacter hongkongensis	0.0120544
Pseudonocardia asaccharolytica	0.01198956
Klebsiella pneumoniae	0.01191
Lactobacillus sp. KLDS 1.0718	0.0119052
Sphingomonas leidyi	0.0118888
Clostridium paraputrificum	0.01187745
Solobacterium moorei	0.01187095
[Eubacterium] brachy	0.0118226
Succinivibrio dextrinosolvens	0.01178907
Pedobacter borealis	0.0117827
Serratia sp. ATCC 39006	0.0117473
Paenibacillus faecis	0.01174332
Pedobacter heparinus	0.011743
Erysipelotrichaceae bacterium 6_1_45	0.0117
Acinetobacter baumannii	0.0116331
Pedobacter sp. NBRC 101363	0.011592275
Stenotrophomonas rhizophila	0.01158825
Lachnospiraceae bacterium 4_1_37FAA	0.011545
Bacillus bataviensis	0.011539748
Bacteroides sp. CIP103040	0.0113997
Pedobacter africanus	0.011267885
Pedobacter ginsenosidimutans	0.0112071
Xanthomonas oryzae	0.0111373
Bacteroides stercorirosoris	0.0110977
Jeotgalicoccus pinnipedialis	0.0110852
Flavobacterium fontis	0.0110771
Bacteroides coprophilus	0.01098645
Streptococcus gordonii	0.0109669
Leptospira inadai	0.0109629
Jejuia pallidilutea	0.0109331
Microvirgula aerodenitrificans	0.0109194
Massilia aerilata	0.0109194
Microvirga flocculans	0.0109063
Serratia marcescens	0.01087399
Corynebacterium aurimucosum	0.0108046
Nocardioides cavernae	0.0107311
Acinetobacter nosocomialis	0.0106729
Paenibacillus sp. NBRC 13630	0.0106729
Brucella melitensis	0.0106729
Aquitalea magnusonii	0.0106729
Ochrobactrum sp. NBRC 14130	0.0106729
Klebsiella michiganensis	0.0106617
Sphingobacterium mizutaii	0.0105513
Aminobacter aminovorans	0.0105513
Chryseobacterium sp. IHB B 17019	0.0105513
Lactobacillus sanfranciscensis	0.010498
Bergeyella zoohelcum	0.0104351
Fusobacterium varium	0.0103821
Chryseobacterium ureilyticum	0.01034133
Pseudomonas sp. NBRC 111140	0.0102836
Bacteroides barnesiae	0.0102767
Streptococcus mutans	0.0102155
Blautia hydrogenotrophica	0.0102045
Clostridium septicum	0.0102017
Kandleria vitulina	0.01016645
Paracoccus sp. NBRC 100641	0.010166055
Enhydrobacter aerosaccus	0.0100922
Stenotrophomonas maltophilia	0.0100634
Clostridium sp. ATCC 29733	0.0100428
